url,domain,date,state,title,direct_status,wayback_available,wayback_url,verdict
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1120112.shtml,www.fmprc.gov.cn,2014/1/17,China,Only with the right approach to the past can we embrace the future,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1124625.shtml,www.fmprc.gov.cn,2014/1/17,China,"Ambassador to Italy Li Ruiyu Gives Interview to Italian News Agency, Exposing and Criticizing Abe's Visit to the Yasukun",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227162629/http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1124625.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/ce/cein/eng/embassy_news/t1120541.htm,www.fmprc.gov.cn,2014/1/20,China,What China Brings to the World,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/ceun/eng/hyyfy/t1121264.htm,www.fmprc.gov.cn,2014/1/20,China,Statement by Counsellor Yao Shaojun of the Chinese Delegation at the 2014 First Regular Session of the UN-Women Executiv,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/ce/ceil/eng/sgxw/t1121133.htm,www.fmprc.gov.cn,2014/1/21,China,"Jerusalem Post Publishes Ambassador Gao Yanping's Article Entitled ""The Holocaust shall never repeat itself""",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1122750.shtml,www.fmprc.gov.cn,2014/1/24,China,"Foreign Ministry Spokesperson Qin Gang's Regular Press Conference on January 24, 2014",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1122839.shtml,www.fmprc.gov.cn,2014/1/25,China,"Interview with H.E. Ambassador Yang Yanyi , Head of the Mission of the People's Republic of China to the European Union ",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227143612/http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1122839.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1123583.shtml,www.fmprc.gov.cn,2014/1/27,China,"Foreign Ministry Spokesperson Qin Gang's Regular Press Conference on January 27, 2014",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1128122.shtml,www.fmprc.gov.cn,2014/2/5,China,Ambassador to Costa Rica Song Yanbin Writes to Hit Back Wrong Words of Japanese Ambassador to Costa Rica,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1128653.shtml,www.fmprc.gov.cn,2014/2/5,China,Ambassador to Serbia Zhang Wanxue Writes to Criticize Shinzo Abe's Visit to Yasukuni Shrine,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1126082.shtml,www.fmprc.gov.cn,2014/2/6,China,"The Herald Publishes H.E. Ambassador Lin Lin's Signed Article ""History does and will tell all""",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227152441/http://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1126082.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1127856.shtml,www.fmprc.gov.cn,2014/2/12,China,"Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on February 12, 2014",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1131024.shtml,www.fmprc.gov.cn,2014/2/21,China,"Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on February 21, 2014",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1132783.shtml,www.fmprc.gov.cn,2014/2/26,China,"Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on February 26, 2014",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160808001952/http://www.fmprc.gov.cn:80/mfa_eng/xwfw_665399/s2510_665401/2511_665403/t1132783.shtml,RECOVERABLE_WAYBACK
