url,date,country,reason_for_exclusion
https://japan.kantei.go.jp/101_kishida/statement/202309/21g7health.html,"September 21, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202309/21uhc.html,"September 21, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202309/22message_sideevent.html,"September 22, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202309/23letter.html,"September 23, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202310/18message.html,"October 18, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202311/1115kaiken.html,"November 15, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202311/22message.html,"November 22, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202311/27message.html,"November 27, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0044.html,"May 26, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202312/06message.html,"December 6, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202312/12message_geac.html,"December 12, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202312/16contribution.html,"December 16, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202312/16message_kuwait.html,"December 16, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202312/1message.html,"December 1, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202312/20message.html,"December 20, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202401/05kaiken2.html,"January 5, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202401/16message_pr.html,"January 16, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202402/05message.html,"February 5, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202402/07message.html,"February 7, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202402/08shukuji.html,"February 8, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202402/13message.html,"February 13, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202402/16message.html,"February 16, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202403/11message_japan_vietnam.html,"March 11, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202403/21message.html,"March 21, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202404/02message.html,"April 2, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202404/08bura.html,"April 8, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202404/12kaiken.html,"April 12, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202404/22message.html,"April 22, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202404/22message2.html,"April 22, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0094.html,"September 23, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0143.html,"April 11, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/02ifcma.html,"May 2, 2024",japan,NOT_HISTORY_RELATED
