url,country,institution,discovered_via,discovered_date,archive_source,status
https://japan.kantei.go.jp/101_kishida/statement/202112/_00001.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00002.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00003.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00004.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00005.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00006.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00007.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00008.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00009.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00010.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00011.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00012.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00013.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00014.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00001.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00003.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00004.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00005.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00006.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00007.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
